CB Version,Acronym,Exam,Type,Duration,Cost [USD],Waived,Public Information,Acronym (repeat),Cert ID 1,Cert ID 2,Cert ID 3,Cert ID 4,Cert ID 5
,Accronym,Exam,Type,Duration [h],Cost [USD],Incl. in course cost,Public Information,,,,,,
6.0,VSP certs,VMware Sales Professional,Accreditation,"0,5",0,yes,,VSP certs,,,,,
6.0,VTSP certs,VMware Technical Sales Professional,Accreditation,"0,5",0,yes,,VTSP certs,,,,,
6.0,vCA cert,VMware Competitive Accreditation,Accreditation,"0,5",0,yes,,vCA cert,,,,,
6.0,VCA-DCV,VMware Certified Associate ? Data Center Virtualization,Certification,1.00,100,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=41162&ui=www_cert,VCA-DCV,41162,40868,,,
6.0,VCA-Cloud,VMware Certified Associate ? Cloud,Certification,1.00,100,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=41165&ui=www_cert,VCA-Cloud,41165,40872,,,
7.0,VCA-NV,VMware Certified Associate - Network Virtualization,Certification,1.00,100,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=41166&ui=www_cert,VCA-NV,41166,,,,
7.0,VCA-WM,VMware Certified Associate ? Workforce Mobility,Certification,1.00,100,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=41164&ui=www_cert,VCA-WM,41164,,,,
6.0,VCP5-DCV,VMware Certified Professional 5 ? Data Center Virtualization,Certification,4.00,200,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=12457&ui=www_cert,VCP5-DCV,12457,13284,13297,23478,
7.0,VCP6-DCV,VMware Certified Professional 6 ? Data Center Virtualization,Certification,5.00,400,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=64178&ui=www_cert,VCP6-DCV,64178,23478,,,
6.0,VCP-NV,VMware Certified Professional ? Network Virtualization,Certification,4.00,200,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=51111&ui=www_cert,VCP-NV,51111,,,,
7.0,VCP-Cloud,VMware Certified Professional ? Cloud,Certification,4.00,200,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=32558&ui=www_cert,VCP-Cloud,32558,33238,,,
7.0,VCP6-Cloud,VMware Certified Professional 6 ? Cloud,Certification,4.00,200,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=54066&ui=www_cert,VCP6-Cloud,54006,,,,
7.0,VCP5-DT,VMware Certified Professional 5 ? Desktop,Certification,4.00,200,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=28343&ui=www_cert,VCP5-DT,28343,,,,
7.0,VCP6-DT,VMware Certified Professional 6 ? Desktop,Certification,4.00,200,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=53471&ui=www_cert,VCP6-DT,53471,,,,
6.0,VCAP5-DCA,VMware Certified Advanced Professional 5 ? Data Center Administration,Certification,6.00,400,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=30483&ui=www_cert,VCAP5-DCA,30483,,,,
6.0,VCAP5-DCD,VMware Certified Advanced Professional 5 ? Data Center Design,Certification,6.00,400,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=30484&ui=www_cert,VCAP5-DCD,30484,,,,
7.0,VCIX-NV,VMware Certified Implementation Expert ? Network Virtualization,Certification,6.00,400,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=52165&ui=www_cert,VCIX-NV,52165,,,,
7.0,VCAP-CIA,VMware Certified Advanced Professional ? Cloud Infrastructure Administration,Certification,6.00,400,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=37629&ui=www_cert,VCAP-CIA,37629,,,,
7.0,VCAP-CID,VMware Certified Advanced Professional ? Cloud Infrastructure Design,Certification,6.00,400,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=32565&ui=www_cert,VCAP-CID,32565,,,,
7.0,VCAP-DTA,VMware Certified Advanced Professional ? Desktop Administration,Certification,6.00,400,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=44696&ui=www_cert,VCAP-DTA,44696,,,,
7.0,VCAP-DTD,VMware Certified Advanced Professional ? Desktop Design,Certification,6.00,400,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=32566&ui=www_cert,VCAP-DTD,32566,,,,
6.0,VCDX5-DCV,VMware Certified Design Expert 5 ? Data Center Virtualization,Certification,40.00,400,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=33270&ui=www_cert,VCDX5-DCV,33270,,,,
6.0,VCDX-NV,VMware Certified Design Expert ? Network Virtualization,Certification,40.00,400,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=51110&ui=www_cert,VCDX-NV,51110,,,,
7.0,VCDX-DT,VMware Certified Design Expert ? Desktop,Certification,40.00,400,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=35072&ui=www_cert,VCDX-DT,35072,,,,
7.0,VCDX-Cloud,VMware Certified Design Expert ? Cloud,Certification,40.00,400,no,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=35071&ui=www_cert,VCDX-Cloud,35071,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,"13284 - VCP3, 13297 - VCP4, 23478 - VCP5",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
