Category,Focus Product,CB Version,Accronym,Naming Convention SDDC Roles Based Training slide,Official Course Name (versions separated by slash),GA,Duration [h],Cost [USD],Delivery Mode,Delivery Location,Course URL,Acronym (repeat),Cert ID 1,Cert ID 2,Cert ID 3,Cert ID 4,Cert ID 5,Cert ID 6
SDDC,Core,7.0,VSP,VMware Sales Professional - Foundation,VSP Foundation,yes,2.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=41848&ui=sso,VSP,22424,41848,42167,50497,63376,10396
SDDC,Core,6.0,VSP - SV,VSP - Server Virtualization (SV),VSP - SV (Server Virtualization 5.5),yes,3.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=42643&ui=sso,VSP - SV,42643,22361,10398,,,
SDDC,"SRM, vDP",6.0,VSP - BC,VSP - BC (Business Continuity 5.5),VSP - BC (Business Continuity 5.5),yes,1.5,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=42644&ui=sso,VSP - BC,22369,42644,,,,
SDDC,Core,6.0,VSP - BCA,VSP - VBCA (Virtualization of Business Critical Applications),VSP - VBCA (Virtualization of Business Critical Applications),yes,3.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=26464&ui=sso,VSP - BCA,26464,,,,,
SDDC,NSX,6.0,VSP - NV,VSP - NV (Network Virtualization 1.0),VSP - NV (Network Virtualization 1.0),yes,2.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=50146&ui=sso,VSP - NV,50146,,,,,
SDDC,vROps,6.0,VSP - MO,VMware Sales Professional (VSP) - Management Operations (MO),VMware Sales Professional (VSP) - Management Operations (MO),yes,1.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=29956&ui=sso,VSP - MO,29956,30811,,,,
SDDC,"vRA, vRB, vRO",6.0,VSP - MA,VMware Sales Professional (VSP) - Management Automation (MA),VSP - MA (Management Automation 6),yes,1.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=48456&ui=sso,VSP - MA,48456,,,,,
SDDC,VSAN,6.0,VSP - SDS,VMware Sales Professional (VSP) - Software Defined Storage (SDS),VSSP - SDS (Software-Defined Storage),yes,1.3,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=50177&ui=sso,VSP - SDS,50177,,,,,
SP,vCA,6.0,VSP - Hybrid,VSP - Hybrid,VSP - Hybrid Training,yes,1.5,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=41071&ui=sso,VSP - Hybrid,41071,,,,,
SP,vCD SP,6.0,VSP - CP,VSP - CP (Cloud Provider),VSP - CP (Cloud Provider),yes,8.5,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=47857&ui=sso,VSP - CP,47857,,,,,
EUC,Horizon View,6.0,VSP - DV,VSP - DV (Desktop Virtualization 6),VSP - DV (Desktop Virtualization 6),yes,3.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=48674&ui=sso,VSP - DV,27387,48674,,,,
EUC,AirWatch,6.0,VSP - Mobility,VSP - Mobility,VSP - Mobility,yes,3.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=49409&ui=sso,VSP - Mobility,49409,,,,,
SDDC,Core,6.0,VTSP,VMware Technical Sales Professional (VTSP),VTSP 5 / VTSP 5.5,yes,8.0,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=41849&ui=sso,VTSP,22425,41849,10624,,,
SDDC,Core,6.0,VTSP - SV,VMware Technical Sales Professional (VTSP) - Server Virtualization (SV),VTSP - SV (Server Virtualization 5),yes,8.5,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=22362&ui=sso,VTSP - SV,22362,10404,,,,
SDDC,"SRM, vDP",6.0,VTSP - BC,VTSP - BC (Business Continuity 5),VTSP - BC (Business Continuity 5),yes,4.5,0,eLearning,remote,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=22370&ui=sso,VTSP - BC,22370,44525,,,,
